rank,keyword,frequency,share_pct,cumulative_share_pct,dominant_source,article_count
203,environmental protection,1,0.0483,92.3671,author_keywords,1
204,environmental resource management,1,0.0483,92.4155,author_keywords,1
205,face sociological concept,1,0.0483,92.4638,author_keywords,1
206,family income,1,0.0483,92.5121,author_keywords,1
207,finance,1,0.0483,92.5604,author_keywords,1
208,fixed effects model,1,0.0483,92.6087,author_keywords,1
209,focus group,1,0.0483,92.657,author_keywords,1
210,food,1,0.0483,92.7053,author_keywords,1
211,food aid,1,0.0483,92.7536,author_keywords,1
212,food and nutrition technical assistance iii project,1,0.0483,92.8019,author_keywords,1
213,food distribution,1,0.0483,92.8502,author_keywords,1
214,food group,1,0.0483,92.8986,author_keywords,1
215,framing construction,1,0.0483,92.9469,author_keywords,1
216,gender studies,1,0.0483,92.9952,author_keywords,1
217,general,1,0.0483,93.0435,author_keywords,1
218,genetics,1,0.0483,93.0918,author_keywords,1
219,geology,1,0.0483,93.1401,author_keywords,1
220,geopolitics,1,0.0483,93.1884,author_keywords,1
221,geospatial analysis,1,0.0483,93.2367,author_keywords,1
222,global warming,1,0.0483,93.285,author_keywords,1
223,globalization,1,0.0483,93.3333,author_keywords,1
224,gradient boosting,1,0.0483,93.3816,author_keywords,1
225,head injury,1,0.0483,93.43,author_keywords,1
226,health care,1,0.0483,93.4783,author_keywords,1
227,health facility,1,0.0483,93.5266,author_keywords,1
228,health geography,1,0.0483,93.5749,author_keywords,1
229,health policy,1,0.0483,93.6232,author_keywords,1
230,health promotion,1,0.0483,93.6715,author_keywords,1
231,health services research,1,0.0483,93.7198,author_keywords,1
232,height for age z score,1,0.0483,93.7681,author_keywords,1
233,human geography,1,0.0483,93.8164,author_keywords,1
234,hygiene,1,0.0483,93.8647,author_keywords,1
235,image mathematics,1,0.0483,93.913,author_keywords,1
236,immunology,1,0.0483,93.9614,author_keywords,1
237,impact evaluation,1,0.0483,94.0097,author_keywords,1
238,incidence geometry,1,0.0483,94.058,author_keywords,1
239,indigenous,1,0.0483,94.1063,author_keywords,1
240,injury prevention,1,0.0483,94.1546,author_keywords,1
241,insulin,1,0.0483,94.2029,author_keywords,1
242,interdependence,1,0.0483,94.2512,author_keywords,1
243,intergeneration malnutrition,1,0.0483,94.2995,author_keywords,1
244,international health,1,0.0483,94.3478,author_keywords,1
245,intraclass correlation,1,0.0483,94.3961,author_keywords,1
246,investment military,1,0.0483,94.4444,author_keywords,1
247,jaccard index,1,0.0483,94.4928,author_keywords,1
248,kenya,1,0.0483,94.5411,author_keywords,1
249,labour economics,1,0.0483,94.5894,author_keywords,1
250,language change,1,0.0483,94.6377,author_keywords,1
251,legislation,1,0.0483,94.686,author_keywords,1
252,livestock,1,0.0483,94.7343,author_keywords,1
253,loan,1,0.0483,94.7826,author_keywords,1
254,local government,1,0.0483,94.8309,author_keywords,1
255,local government area,1,0.0483,94.8792,author_keywords,1
256,longitudinal study,1,0.0483,94.9275,author_keywords,1
257,low and middle income countries,1,0.0483,94.9758,author_keywords,1
258,machine learning,1,0.0483,95.0242,author_keywords,1
259,mainstream,1,0.0483,95.0725,author_keywords,1
260,malaria,1,0.0483,95.1208,author_keywords,1
261,market economy,1,0.0483,95.1691,author_keywords,1
262,matching statistics,1,0.0483,95.2174,author_keywords,1
263,maternal and child health,1,0.0483,95.2657,author_keywords,1
264,measles,1,0.0483,95.314,author_keywords,1
265,medical emergency,1,0.0483,95.3623,author_keywords,1
266,medical prescription,1,0.0483,95.4106,author_keywords,1
267,meta analysis,1,0.0483,95.4589,author_keywords,1
268,micronutrient,1,0.0483,95.5072,author_keywords,1
269,multinomial logistic regression,1,0.0483,95.5556,author_keywords,1
270,multistage sampling,1,0.0483,95.6039,author_keywords,1
271,multivariate statistics,1,0.0483,95.6522,author_keywords,1
272,narrative,1,0.0483,95.7005,author_keywords,1
273,natural resource economics,1,0.0483,95.7488,author_keywords,1
274,nutrition,1,0.0483,95.7971,author_keywords,1
275,nutrition transition,1,0.0483,95.8454,author_keywords,1
276,occupational safety and health,1,0.0483,95.8937,author_keywords,1
277,offspring,1,0.0483,95.942,author_keywords,1
278,operationalization,1,0.0483,95.9903,author_keywords,1
279,ordered logit,1,0.0483,96.0386,author_keywords,1
280,ordinal regression,1,0.0483,96.087,author_keywords,1
281,ordinary least squares,1,0.0483,96.1353,author_keywords,1
282,outbreak,1,0.0483,96.1836,author_keywords,1
283,outpatient clinic,1,0.0483,96.2319,author_keywords,1
284,overnutrition,1,0.0483,96.2802,author_keywords,1
285,parliament,1,0.0483,96.3285,author_keywords,1
286,pastoralism,1,0.0483,96.3768,author_keywords,1
287,per capita income,1,0.0483,96.4251,author_keywords,1
288,philosophy,1,0.0483,96.4734,author_keywords,1
289,physical geography,1,0.0483,96.5217,author_keywords,1
290,physical therapy,1,0.0483,96.57,author_keywords,1
291,physics,1,0.0483,96.6184,author_keywords,1
292,poison control,1,0.0483,96.6667,author_keywords,1
293,poisson regression,1,0.0483,96.715,author_keywords,1
294,pooled analysis,1,0.0483,96.7633,author_keywords,1
295,population growth,1,0.0483,96.8116,author_keywords,1
296,probit model,1,0.0483,96.8599,author_keywords,1
297,production economics,1,0.0483,96.9082,author_keywords,1
298,promotion chess,1,0.0483,96.9565,author_keywords,1
299,propensity score matching,1,0.0483,97.0048,author_keywords,1
300,prospective cohort study,1,0.0483,97.0531,author_keywords,1
301,protein energy malnutrition,1,0.0483,97.1014,author_keywords,1
302,public administration,1,0.0483,97.1498,author_keywords,1
303,public relations,1,0.0483,97.1981,author_keywords,1
304,qualitative property,1,0.0483,97.2464,author_keywords,1
305,quality philosophy,1,0.0483,97.2947,author_keywords,1
306,random forest,1,0.0483,97.343,author_keywords,1
307,randomized controlled trial,1,0.0483,97.3913,author_keywords,1
308,referral,1,0.0483,97.4396,author_keywords,1
309,reproductive health,1,0.0483,97.4879,author_keywords,1
310,resilience materials science,1,0.0483,97.5362,author_keywords,1
311,resource disambiguation,1,0.0483,97.5845,author_keywords,1
312,road traffic,1,0.0483,97.6329,author_keywords,1
313,rural community,1,0.0483,97.6812,author_keywords,1
314,salience neuroscience,1,0.0483,97.7295,author_keywords,1
315,scale ratio,1,0.0483,97.7778,author_keywords,1
316,settlement finance,1,0.0483,97.8261,author_keywords,1
317,severe acute respiratory syndrome coronavirus 2 sars cov 2,1,0.0483,97.8744,author_keywords,1
318,shock circulatory,1,0.0483,97.9227,author_keywords,1
319,sierra leone,1,0.0483,97.971,author_keywords,1
320,similarity geometry,1,0.0483,98.0193,author_keywords,1
321,skinfold thickness,1,0.0483,98.0676,author_keywords,1
322,snow,1,0.0483,98.1159,author_keywords,1
323,social class,1,0.0483,98.1643,author_keywords,1
324,somali,1,0.0483,98.2126,author_keywords,1
325,space punctuation,1,0.0483,98.2609,author_keywords,1
326,spanish civil war,1,0.0483,98.3092,author_keywords,1
327,standard deviation,1,0.0483,98.3575,author_keywords,1
328,standard of living,1,0.0483,98.4058,author_keywords,1
329,standard score,1,0.0483,98.4541,author_keywords,1
330,starvation,1,0.0483,98.5024,author_keywords,1
331,statistic,1,0.0483,98.5507,author_keywords,1
332,statistical package for the social sciences,1,0.0483,98.599,author_keywords,1
333,statistical significance,1,0.0483,98.6473,author_keywords,1
334,statistical software,1,0.0483,98.6957,author_keywords,1
335,stressor,1,0.0483,98.744,author_keywords,1
336,structural equation modeling,1,0.0483,98.7923,author_keywords,1
337,stunted growth,1,0.0483,98.8406,author_keywords,1
338,stunting,1,0.0483,98.8889,author_keywords,1
339,subsistence agriculture,1,0.0483,98.9372,author_keywords,1
340,survey data collection,1,0.0483,98.9855,author_keywords,1
341,survival analysis,1,0.0483,99.0338,author_keywords,1
342,term time,1,0.0483,99.0821,author_keywords,1
343,thematic analysis,1,0.0483,99.1304,author_keywords,1
344,towns,1,0.0483,99.1787,author_keywords,1
345,traumatic brain injury,1,0.0483,99.2271,author_keywords,1
346,treatment and control groups,1,0.0483,99.2754,author_keywords,1
347,unrest,1,0.0483,99.3237,author_keywords,1
348,vaccination,1,0.0483,99.372,author_keywords,1
349,vaccination and immunization,1,0.0483,99.4203,author_keywords,1
350,variance inflation factor,1,0.0483,99.4686,author_keywords,1
351,verbal autopsy,1,0.0483,99.5169,author_keywords,1
352,virology,1,0.0483,99.5652,author_keywords,1
353,visual arts,1,0.0483,99.6135,author_keywords,1
354,voucher,1,0.0483,99.6618,author_keywords,1
355,wasting syndrome,1,0.0483,99.7101,author_keywords,1
356,weaning,1,0.0483,99.7585,author_keywords,1
357,weather patterns,1,0.0483,99.8068,author_keywords,1
358,women s empowerment,1,0.0483,99.8551,author_keywords,1
359,world health organization,1,0.0483,99.9034,author_keywords,1
360,yield engineering,1,0.0483,99.9517,author_keywords,1
361,young adult,1,0.0483,100.0,author_keywords,1
