Palavras-chave,Covidence #
"Machine learning, Prediction, Under-5 children, Stunting, Rwanda",#2267
"Rwanda, stunting, children, poor, household, factors, intimate partner violence",#2054
"child malnutrition, chi-square, Egypt, quantile regression, undernutrition, wasting",#2101
"Determinants, Niger state, Prevalence, Undernutrition, Under-five",#1918
"household food insecurity, obesity, overweight, double burden of malnutrition, under-nutrition, over-nutrition, Haiti",#2452
"Malnutrition, Stunted, Underweight, Gender, Rural households, Ordered probit",#2614
"hunger, food security, diet, malnutrition, double burden, non-communicable diseases, stuntin",#2805
"Household food security, Dietary pattern, Nutritional Status, COVID-19",#2845
"Undernutrition, stunting, underweight, children aged 6 to 59 months, Bussi Islands, Ugand",#2869
"Undernutrition, stunting, malnutrition, children, Nigeria",#2848
"West Africa, Nutrition, Gender, Empowerment, Regression decomposition",#3114
"Inequalities, Obesity, Undernutrition, Body mass index",#3046
"obesity, severe acute malnutrition, individual factors, community level factors, dietary intervention",#3434
"Children under age five, Stunting, Multilevel logistic regression, Ethiopian Demographic, and Health Survey.",#3154
"survival pattern, predictors, time to death, severe acute malnutrition, hospitals",#3421
"children, stunting, underweight, thinness, associated factors, primary healthcare facilities, South Africa",#3616
"deaths, food security, Gicumbi district, malnutrition, Rwanda, stunting",#4131
"Child malnutrition, nutrition-specific drivers, nutrition-sensitive drivers, KA-HDSS, Ethiopia",undernutrition
"Pregnancy, malnutrition",#4204
"Maternal autonomy, Undernutrition, Stunting, Wasting, Underweight",#4100
"Stunting, 6–59 months, Child, Predictors, Sodo-zuria",#4011
"Undernutrition, Under-five children, Model and non-model households, Ethiopia",#4010
"Economic growth, Inequality, Malnutrition, Stunting, Wasting, Underweight, Egypt",#4632
"Matrilineal society, inheritance, gender roles, food insecurity, malnutrition, Nigeria",#4674
"Malnutrition, Stunting, Wasting, Underweight, Edema",#4819
"Prevalence, Malnutrition, Risk factors, Children, Ghana",#4828
"Africa, Corruption, Malnutrition, Poverty, GDP, Underdevelopment",#6971
"School children, Underweight, Stunting, Thinness, Overweight, Socioeconomic status",#4975
"malnutrition, children, wasting, stunting, treatmen",#5123
"ethnic groups, body mass index, stunting, nutritional status, child development",#4980
"Malnutrition, Children, Prevention, Diarrhoea, Risk factors, Interventions",#5153
"Feeding practices, Nutritional status, Infant, Somali Region",#5186
"stunting, household food insecurity, children, Demographic and Health Survey, Peru (",#5249
"Food insecurity, Informal settlements, Nutritional status, Urban poor, Nairobi, Kenya",#7139
"Child, Growth, Nigeria, Risk factors, Undernutrition",#5492
"Performance-based financing, Malnutrition, Stunting, Underweight, Rwanda",#5413
"primary health care facilities, nutritional status, children, caregivers’ rural, South Africa",#5952
"democracy, entitlement approach, famine, famine operationalization, Niger",#6017
"Child hunger, Underweight, Household, Environmental factors, Spatial analysis",#6187
"Malnutrition, kwashiorkor, marasmus",#6182
"Social Support, Nutritional Status, Child Welfare",#6204
"Ethiopia, malnutrition, Famine, Food security, Nutrition policy",#6296
"undernutrition, measurements, monitoring, FAO, Africa",#6354
