article_index,article_title,missing_before,missing_after,external_sources_used
33,"Environmental Predictors of Undernutrition Among Under-5 Children at Dabat District Health Facilities, Northwest Ethiopia, 2023",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
34,Hospital admissions for child malnutrition in Brazil: an epidemiological overview of the last 10 years,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
35,How age and sex affect treatment outcomes for children with severe malnutrition: A multi-country secondary data analysis,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
36,Nutrition policy or price stabilisation policy: which policy is more effective for nutrition outcomes?,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
37,"Prevalence and Determinants of Undernutrition in Schoolchildren in the Kilombero District, South-Eastern Tanzania",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
38,Preventing Stunting in South African Children Under 5: Evaluating the Combined Impacts of Maternal Characteristics and Low Socioeconomic Conditions,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
39,"Quantifying food insecurity in Ethiopia: Prevalence, drivers, and policy implications",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
40,"Recovery rate and predictors among children aged 6–59 months with severe acute malnutrition in Addis Ababa, Ethiopia: a retrospective follow-up study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
41,"Starvation remains the leading cause of death in Tigray, northern Ethiopia, after the Pretoria deal: a call for expedited action",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
42,The influence of minimum dietary diversity on undernutrition among children aged 6–23 months in Ethiopia: a multilevel mixed-effect analysis based on 2019 Ethiopian mini demographic and health survey,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
43,The Similarity Degree of the Anthropometric and Body Composition Variables of Brazilian and Mozambican Schoolchildren: A New Approach Using the Smoothed Jaccard Index Surface,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
44,"Towards a healthier future for the achievement of SDGs: unveiling the effects of agricultural financing, energy poverty, human capital, and corruption on malnutrition",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
45,"Trehan, I.",journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
46,"Trends in social determinants of inequality in child undernutrition from the Ethiopian Demographic and Health Surveys, 2005–2016",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
47,"Undernutrition and associated factors among lactating mothers in Chiro district, eastern Ethiopia: a community-based cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
48,"Undernutrition and associated factors among school-age children in Wolaita Zone, South Ethiopia: a comparative cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
49,Undernutrition in children under five associated with wealth-related inequality in 24 low- and middle-income countries from 2017 to 2022,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
50,Weather variability and malnutrition among farming households in Ethiopia,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
51,"Acute malnutrition relapse and associated factors among 6–59 months old children treated in the community-based management of acute malnutrition in Dessie, Kombolcha, and Haik towns, Northeast Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
52,"Agricultural yield, food nutrition and dietary energy supply in Nigeria: Evidence from nationally representative data",journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
53,Association between Household Food Insecurity and Malnutrition among School Aged Children in Nnewi Southeast Nigeria,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
54,Association between severe acute malnutrition in childhood and hematological disorders in adulthood: the Lwiro follow-up study in the Eastern Democratic Republic of the Congo,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
55,Community Clustering of Food Insecurity and Malnutrition Associated With Systemic Drivers in Chad,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
56,Comparison of Malnutrition Indicators and Associated Socio-Demographic Factors among Children in Rural and Urban Public Primary Schools in South Africa,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
57,"Determinants of acute undernutrition among pregnant women attending primary healthcare unit in Chinaksen District, Eastern Ethiopia: a case-control study",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
58,"Determinants of Malnutrition and its associated factors among pregnant and lactating women under armed conflict areas in North Gondar Zone, Northwest Ethiopia: a community-based study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
59,Gender-specific disaggregated analysis of childhood undernutrition in Ethiopia: evidence from 2000–2016 nationwide survey,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
60,Geostatistical modelling of child undernutrition in developing countries using remote-sensed data: evidence from Bangladesh and Ghana demographic and health surveys,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
61,Household behavior and vulnerability to acute malnutrition in Kenya,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
62,"Household Food Insecurity and Demographic Factors, Low Birth Weight and Stunting in Early Childhood: Findings from a Longitudinal Study in South Africa",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
63,Longitudinal trends and determinants of stunting among children aged 1–15 years,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
64,Population-Modifiable Risk Factors Associated with Childhood Stunting in Sub-Saharan Africa,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
65,Prediction of Stunting among Under-5 Children in Rwanda Using Machine Learning Techniques,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
66,Prevalence and Correlates of Stunting among Children Aged 6–23 Months from Poor Households in Rwanda,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
67,"Prevalence and correlates of stunting and thinness among adolescent students in Lideta subcity, Addis Ababa, Ethiopia: A cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
68,Prevalence and determinants of wasting among under-5 Egyptian children: Application of quantile regression,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
69,"Prevalence and Determining Factors of Undernutrition among Underfive Children in Three Local Government Areas of Niger State, Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
70,Prevalence and factors associated with undernutrition among children under the age of five years in Benin,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
71,Racial and regional inequality in the temporal trend of stunting and excess weight in Brazilian children under five years of age,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
72,Spatial distribution and associated factors of severe malnutrition among under-five children in Ethiopia: further analysis of 2019 mini EDHS,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
73,"Spatial heterogeneity of child malnutrition, proximity to protected areas and environmental variabilities in Zimbabwe",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
74,Strong seasonality in diets and alarming levels of food insecurity and child malnutrition in south-eastern Madagascar,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
75,The determinants of food insecurity among developing countries: Are there any differences?,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
76,The effect of extreme weather events on child nutrition and health,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
77,The prevalence of under nutrition and associated factors among pregnant women attending antenatal care service in public hospitals of western Ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
78,"Time to recovery and its predictors among children 6–59 months with acute malnutrition admitted to community inpatient therapeutic feeding centers in Katsina State, Northwest Nigeria: a retrospective review of health records (2010–2016)",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
79,Trajectories of resilience to acute malnutrition in the Kenyan drylands,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
80,"TREATMENT OUTCOME FROM SEVERE ACUTE MALNUTRITION AMONG CHILDREN 6 TO 59 MONTHS ADMITTED TO HAWASSA UNIVERSITY COMPRE HENSIVE SPECIALIZED HOSPITAL, SOUTHERN ETHIOPIA",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
81,"Disparity in prevalence and predictors of undernutrition in children under five among agricultural, pastoral, and agro-pastoral ecological zones of Karamoja sub-region, Uganda: a cross sectional study",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
82,"Estimating the changing burden of disease attributable to childhood stunting, wasting and underweight in South Africa for 2000, 2006 and 2012",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
83,"Extreme Food Insecurity and Malnutrition in Haiti: Findings from a Population-Based Cohort in Port-au-Prince, Haiti",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
84,"Factors associated with acute malnutrition among children aged 6–59 months in Haiti, Burkina Faso and Madagascar: A pooled analysis",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
85,Gender and occupation of household head as major determinants of malnutrition among children in Nigeria,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
86,Has Food Security and Nutritional Status Improved in Children 1–<10 Years in Two Provinces of South Africa between 1999 (National Food Consumption Survey) and 2018 (Provincial Dietary Intake Study (PDIS)),journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
87,"HOUSEHOLD FOOD SECURITY, DIETARY PATTERNS AND NUTRITIONAL STATUS OF YOUNG CHILDREN IN A NIGERIAN COMMUNITY: SITUATION OF POST-COVID-19 LOCKDOWN",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
88,"Inequalities in the prevalence of stunting, anemia and exclusive breastfeeding among African children",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
89,"Inequality, population growth, and hunger in Sub-Saharan Africa",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
90,Nutritional inequalities among under-five children: a geospatial analysis of hotspots and cold spots in 73 low- and middle-income countries,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
91,"Predictors of Stunting and Underweight Among Children Aged 6 to 59 months in Bussi Islands, Wakiso District, Uganda: A Cross-Sectional Study",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
92,"Prevalence and patterns of anthropometric failure among under-five children in Nigeria: Evidence from the National nutrition and health survey, 2018",journal; doi; abstract; keywords_author,journal,crossref_title; openalex_doi
93,Risk Factors for Undernutrition among Children in South Central Somalia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
94,THE ASSOCIATION BETWEEN DIETARY DIVERSITY AND ANTHROPOMETRIC INDICES OF CHILDREN AGED 24-59 MONTHS: A CROSS-SECTIONAL STUDY IN NORTHERN GHANA,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
95,"The Burden of Undernutrition and Its Associated Factors Among Children Below 5 Years of Age in Bambao Region, Comoros",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
96,The Role of Food Insecurity and Dietary Diversity on Recovery from Wasting among Hospitalized Children Aged 6–23 Months in Sub-Saharan Africa and South Asia,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
97,A black dog enters the home: Hunger and malnutrition in Malawi,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
98,Associated risk factors of underweight among under-five children in Ethiopia using multilevel ordinal logistic regression model,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
99,"Caregivers’ knowledge and food accessibility contributes to childhood malnutrition: A case study of dora nginza hospital, south africa",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
100,Demographic and Social-Economic Determinants of Malnutrition among Children (0-23 Months Old) in Kenya,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
101,"Determinants of severe acute malnutrition among children aged 6-59 months in the pastoral community of Liban District, Guji Zone, Oromia Regional State, Southeastern Ethiopia: A case-control study",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
102,Empowerment and nutrition in Niger: insights from the Women’s Empowerment in Nutrition grid,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
103,Inequalities in maternal malnutrition in Ethiopia: evidence from a nationally representative data,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
104,Leaving no child behind: Decomposing socioeconomic inequalities in child health for india and south africa,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
105,"Malnutrition and contributing factors among newborns delivered at the University of Gondar Hospital, Northwest Ethiopia: A cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
106,Malnutrition in children under the age of 5 years in a primary health care setting,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
107,Multilevel Analysis of Determinants of Stunting Prevalence among Children under Age Five in Ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
108,Pooled prevalence and associated factors of chronic undernutrition among under-five children in East Africa: A multilevel analysis,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
109,Predictors of death from complicated severe acute malnutrition in east ethiopia: Survival analysis,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
110,Prior undernutrition and insulin production several years later in Tanzanian adults,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
111,Severe acute malnutrition morphological patterns in children under five,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
112,Spatial data analysis of malnutrition among children under-five years in Ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
113,The Burden of Malnutrition and Fatal COVID-19: A Global Burden of Disease Analysis,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
114,The framing of malnutrition by parliamentarians in Uganda,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
115,"Undernutrition and associated factors among under-five orphan children in Addis Ababa, Ethiopia, 2020: A cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
116,Assessing the Zero Hunger Target Readiness in Africa in the Face of COVID-19 Pandemic,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
117,Cash and voucher assistance and children's nutrition status in Somalia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
118,Consequences of early life exposure to the 1983-1985 Ethiopian Great Famine on cognitive function in adults: a historical cohort study,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
119,"Determinants of anthropometric characteristics of under-five children in internally displaced persons camps in Abuja municipal area council, Abuja, Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
120,"Determinants of malnutrition in under-five children in Angola, Malawi and senegal",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
121,"Dietary practice and nutritional status among pregnant women attending antenatal care at mettu karl referral hospital, Southwest Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
122,Drivers of stunting reduction in Senegal: A country case study,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
123,"Household level food insecurity assessment: Evidence from panel data, Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title; openalex_doi
124,Literacy is power: Structural drivers of child malnutrition in rural Liberia,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
125,Malnutrition and morbidity trends in Somalia between 2007 and 2016: Results from 291 cross-sectional surveys,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
126,"Persistent malnutrition and associated factors among children under five years attending primary health care facilities in Limpopo Province, South Africa",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
127,"Predictors of relapse of acute malnutrition following exit from community-based management program in Amhara region, Northwest Ethiopia: An unmatched case-control study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
128,Simultaneous quantile regression and determinants of under-five severe chronic malnutrition in Ghana,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
129,Socioeconomic inequalities in food insecurity and malnutrition among under-five children: Within and between-group inequalities in Zimbabwe,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
130,"Socioeconomic inequalities in hidden hunger, undernutrition, and overweight among under-five children in 35 sub-Saharan Africa countries",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
131,Spectrum of nutrition-specific and nutrition-sensitive determinants of child undernutrition: A multisectoral cross-sectional study in rural Mozambique,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
132,"Tanzania's story of change in nutrition: Political commitment, innovation and shrinking political space",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
133,Wasted children and wasted time: A challenge to meeting the nutrition sustainable development goals with a high economic impact to ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
134,"Estimating the double burden of malnutrition among 595,975 children in 65 low-and middle-income countries: A meta-analysis of demographic and health surveys",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
135,Exploring spatial differences in the risk of child stunting: Evidence from a South African national panel survey,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
136,"HEALTH CARE OUTCOMES, MALNUTRITION AND FOOD SECURITY IN SOUTHERN AFRICA DEVELOPMENT COMMUNITY: A QUANTILE REGRESSION APPROACH",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
137,Moderate and severe household food insecurity predicts stunting and severe stunting among Rwanda children aged 6–59 months residing in Gicumbi district,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
138,"Nutrition-specific and sensitive drivers of poor child nutrition in Kilte Awlaelo-Health and Demographic Surveillance Site, Tigray, Northern Ethiopia: implications for public health nutrition in resource-poor settings",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
139,"Nutritional status of pregnant women attending antenatal care services in primary health care management board Kano State, Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
140,Predictors of early childhood undernutrition in Nigeria: The role of maternal autonomy,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
141,"Predictors of stunting among children 6-59 months of age in Sodo Zuria District, South Ethiopia: A community based cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
142,"Prevalence and associated factors of undernutrition among under-five children from model and non-model households in east Gojjam zone, Northwest Ethiopia: A comparative cross-sectional study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
143,Risk factors for malnutrition among school-aged children: A cross-sectional study in rural Madagascar,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
144,Severe acute malnutrition and mortality in children in the community: Comparison of indicators in a multi-country pooled analysis,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
145,The effect of childhood stunting and wasting on adolescent cardiovascular diseases risk and educational achievement in rural Uganda: a retrospective cohort study,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
146,Trends in socioeconomic inequalities in child undernutrition: Evidence from Nigeria demographic and health survey (2003 – 2013),journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
147,"A cash-based intervention and the risk of acute malnutrition in children aged 6–59 months living in internally displaced persons camps in Mogadishu, Somalia: A non-randomised cluster trial",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
148,Determinants of child anthropometric indicators in Ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
149,Economic Growth and Child Malnutrition in Egypt: New Evidence from National Demographic and Health Survey,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
150,"Female eco-stability and severe malnutrition in children: Evidence from humanitarian aid interventions of Action Against Hunger in African, Asian and Latin American countries",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
151,"Food insecurity, social welfare and low birth weight: Implications for childhood malnutrition in an urban eastern Cape Province township",journal; doi; abstract; keywords_author,journal,crossref_title; openalex_doi
152,Gender and household structure factors associated with maternal and child undernutrition in rural communities in Ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
153,Household Food Insecurity along an Agro-Ecological Gradient Influences Children’s Nutritional Status in South Africa,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
154,Hunger influenced life expectancy in war-torn Sub-Saharan African countries,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
155,Prevalence of undernourishment: Trend and contribution of East African countries to sub-Saharan Africa from 1991 to 2015,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
156,The Implication of Early Childhood Malnutrition for Age of Entry into Primary School in Nigeria,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title; scrape_url
157,"Care and not wealth is a predictor of wasting and stunting of ‘The Coffee Kids’ of Jimma Zone, Southwest Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
158,Child malnutrition in sub-Saharan Africa: A meta-analysis of demographic and health surveys (2006-2016),journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
159,Conflict in Somalia: Impact on child undernutrition,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
160,"Drought, conflict and children’s undernutrition in Ethiopia 2000–2013: A meta-analysis",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
161,"Gender roles, family relationships, and household food and nutrition security in Ohafia matrilineal society in Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
162,"Household Food Insecurity and Its Association with Nutritional Status of Children 6-59 Months of Age in East Badawacho District, South Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
163,Influence of malnutrition upon all-cause mortality among children in Swaziland,journal; doi; abstract; keywords_author,abstract,crossref_title; semantic_scholar_title
164,Malnutrition in Pre-school Children across Different Geographic Areas and Socio-Demographic Groups in Ghana,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
165,Poverty and malnutrition in Africa: a conceptual analysis,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
166,Prevalence of Malnutrition and Associated Factors among Children in Rural Ethiopia,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
167,Small area estimation of child undernutrition in Ethiopian woredas,journal; doi; abstract; keywords_author,journal,crossref_title; openalex_doi
168,"Socio-demographic determinants of malnutrition among primary school aged children in Enugu, Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
169,Determinants of nutritional status in children under five living in a rural area of Mozambique: A population survey,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
170,"Malnutrition and associated factors in children: A comparative study between public and private schools in Hohoe Municipality, Ghana",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
171,Moderate malnutrition in children aged five years and younger in South Africa: Are wasting or stunting being treated?,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
172,Nutritional characteristics of afro-descendant schoolchildren of Colombian pacific southwest coast,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
173,Relapses from acute malnutrition and related factors in a community-based management programme in Burkina Faso,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
174,Risk factors associated with underweight status in children under five: An analysis of the 2010 Rwanda Demographic Health Survey (RDHS),journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
